date,department,category,channel,owner,status,revenue,cost,tickets,response_hours,satisfaction
2026-01-03,Sales,Website Build,Referral,Nathan,Paid,650,120,2,5,4.7
2026-01-06,Support,Maintenance,Email,Nathan,Open,120,20,5,9,4.1
2026-01-12,Sales,Hosting,Website,Nathan,Paid,180,45,1,3,4.8
2026-01-18,Marketing,Social Media,Organic,Nathan,Complete,90,15,3,6,4.2
2026-01-24,Sales,Website Build,Website,Nathan,Overdue,500,100,2,18,3.8
2026-02-02,Sales,Deposit,Referral,Nathan,Paid,250,35,1,2,4.9
2026-02-08,Support,Bug Fix,Email,Nathan,Complete,160,30,4,8,4.3
2026-02-14,Marketing,Content,Organic,Nathan,Complete,75,10,2,6,4.4
2026-02-21,Sales,Website Build,Referral,Nathan,Paid,720,135,2,4,4.8
2026-02-27,Finance,Invoice Follow-up,Email,Nathan,Open,0,0,6,24,3.6
2026-03-04,Sales,Automation Tool,Website,Nathan,Paid,420,70,1,5,4.6
2026-03-10,Support,Maintenance,Email,Nathan,Open,150,25,7,12,4.0
2026-03-16,Sales,Hosting,Website,Nathan,Paid,200,50,1,3,4.7
2026-03-20,Marketing,Campaign Review,Referral,Nathan,Complete,110,25,2,7,4.4
2026-03-28,Sales,Website Build,Website,Nathan,Overdue,850,180,3,20,3.7
2026-04-03,Sales,Deposit,Referral,Nathan,Paid,300,40,1,2,4.9
2026-04-09,Support,Bug Fix,Email,Nathan,Complete,190,35,4,7,4.2
2026-04-15,Marketing,Content,Organic,Nathan,Complete,95,15,2,6,4.5
2026-04-22,Sales,Automation Tool,Website,Nathan,Paid,520,90,2,5,4.6
2026-04-30,Finance,Invoice Follow-up,Email,Nathan,Open,0,0,5,26,3.5
2026-05-05,Sales,Website Build,Referral,Nathan,Paid,900,190,2,4,4.9
2026-05-11,Support,Maintenance,Email,Nathan,Open,180,30,8,14,4.0
2026-05-17,Sales,Hosting,Website,Nathan,Paid,220,55,1,3,4.8
2026-05-21,Marketing,Social Media,Organic,Nathan,Complete,130,20,3,6,4.3
2026-05-29,Sales,Website Build,Website,Nathan,Overdue,760,160,3,22,3.6
2026-06-02,Sales,Deposit,Referral,Nathan,Paid,280,40,1,2,4.8
2026-06-08,Support,Bug Fix,Email,Nathan,Complete,210,45,5,9,4.1
2026-06-13,Sales,Automation Tool,Website,Nathan,Paid,610,110,2,5,4.7
2026-06-18,Marketing,Campaign Review,Referral,Nathan,Complete,140,30,2,7,4.4
2026-06-25,Finance,Invoice Follow-up,Email,Nathan,Open,0,0,7,28,3.4
